cat,sid,name,papers,qs,cover,topics,avgPerTopic,drillHits,grade
civil,p001,"國文",6,60,100,52,1.2,0,普通
civil,g004,"行政法（一般行政組）",6,150,100,44,3.4,0,好
civil,g006,"民法（財稅行政組）",6,150,100,99,1.5,124,普通
civil,g007,"稅務法規（財稅行政組）",6,150,100,17,8.8,76,好
civil,g008,"財政學（財稅行政組）",6,150,100,66,2.3,5,好
civil,g010,"會計學",6,150,100,104,1.4,0,普通
civil,g011,"中級會計學",6,120,100,87,1.4,2,普通
civil,g017,"行政法（法制組）",6,150,100,44,3.4,0,好
civil,g021,"民法（公平交易管理組）",6,150,100,107,1.4,7,普通
civil,g024,"海洋事務總論",6,150,100,113,1.3,8,普通
civil,g028,"刑法",3,75,100,40,1.9,50,普通
civil,g030,"經濟學與財政學概論",3,60,100,27,2.2,0,好
civil,g031,"經濟學與貨幣銀行學",1,25,100,25,1,0,普通
civil,g032,"政府會計（審計組）",1,25,100,12,2.1,0,好
civil,g033,"審計學（審計組）",1,25,100,21,1.2,0,普通
civil,g034,"民法（智慧財產行政組）",1,25,100,4,6.3,0,好
civil,p016,"經濟學概要",6,300,100,162,1.8,10,普通
civil,p017,"政府會計概要",6,120,100,30,4,16,好
civil,p020,"衛生行政學概要",6,150,100,112,1.3,12,普通
civil,p021,"圖書資訊學概要",6,150,100,114,1.3,2,普通
civil,p028,"會計學概要（會計組）",3,60,100,47,1.3,1,普通
civil,p029,"會計法規概要",3,60,100,6,10,37,好
civil,p031,"經濟學與貨幣銀行學概要",1,50,100,10,5,0,好
civil,g022,"租稅法",3,75,100,9,8.3,36,好
civil,g023,"納稅者權利保護法及稅捐稽徵法",3,75,100,7,10.7,49,好
civil,p011,"移民法規概要",6,300,100,25,12,227,好
civil,p018,"成本與管理會計概要",6,120,100,21,5.7,2,好
civil,p019,"審計學概要",6,120,100,71,1.7,6,普通
civil,a001,"國文",6,60,100,39,1.5,0,普通
civil,a006,"民法（財稅行政組）",6,150,100,120,1.3,2,普通
civil,a007,"稅務法規",6,150,100,22,6.8,80,好
civil,a020,"經濟學與財政學概論",2,40,100,23,1.7,17,普通
civil,a021,"基礎能力測驗",2,60,100,31,1.9,18,普通
civil,b001,"國文",6,60,100,16,3.8,16,好
civil,b011,"偵查法學與犯罪偵查",6,150,100,44,3.4,31,好
civil,b027,"會計法規概要",2,40,100,5,8,19,好
civil,b028,"經濟學與財政學概要",2,100,100,53,1.9,37,普通
civil,a012,"審計學",6,150,100,112,1.3,2,普通
civil,b017,"犯罪偵查",6,240,100,139,1.7,69,普通
civil,c017,"水上警察情境實務概要",6,180,100,83,2.2,22,好
civil,c021,"刑法概要",6,200,100,61,3.3,75,好
civil,c024,"海巡法規概要（一般警察・水上警察人員航海組組）",6,300,100,70,4.3,63,好
civil,c027,"公務員法大意",6,300,100,22,13.6,167,好
civil,c026,"消防與災害防救法規概要（警察人員・消防警察人員組）",6,225,100,141,1.6,30,普通
civil,c006,"法學知識",6,300,100,70,4.3,151,好
civil,c001,"國文",6,60,100,32,1.9,16,普通
civil,e011,"教育法規大意",6,300,100,127,2.4,10,好
civil,e013,"稅務法規大意",6,300,100,48,6.2,72,好
civil,e014,"財政學大意",6,300,100,73,4.1,23,好
civil,e019,"會計審計法規大意",6,300,100,48,6.3,150,好
civil,e020,"會計學大意",6,240,100,37,6.5,28,好
civil,e021,"經濟學大意",6,300,100,69,4.3,37,好
civil,e022,"土地法大意",6,300,100,103,2.9,0,好
civil,e023,"土地行政大意",6,300,100,111,2.7,0,好
civil,e024,"圖書館學大意",6,300,100,186,1.6,10,普通
civil,e025,"中文圖書分類編目大意",6,300,100,180,1.7,19,普通
civil,e031,"勞工行政與勞工法規大意",6,300,100,49,6.1,73,好
civil,e034,"地方自治大意",2,100,100,19,5.3,39,好
civil,e032,"臺灣原住民族史大意",2,100,100,67,1.5,0,普通
civil,e033,"原住民族行政及法規大意",2,100,100,65,1.5,0,普通
civil,g015,"會計審計法規",6,150,99,15,9.9,109,好
civil,g025,"稅務法規（財稅法務組）",3,75,99,16,4.6,28,好
civil,g026,"財政學（會計組）",3,75,99,7,10.6,43,好
civil,p006,"行政法概要",6,300,99,47,6.3,115,好
civil,p007,"地方自治概要",6,150,99,31,4.8,98,好
civil,p008,"社會政策與社會立法概要",6,150,99,56,2.6,17,好
civil,p009,"社會工作概要",6,150,99,95,1.6,14,普通
civil,p010,"國籍與戶政法規概要",6,150,99,12,12.3,76,好
civil,p012,"民法概要",6,150,99,85,1.8,4,普通
civil,p013,"稅務法規概要",6,150,99,20,7.5,60,好
civil,p015,"會計學概要（財稅行政組）",6,120,99,85,1.4,2,普通
civil,p025,"動物解剖生理學概要",6,300,99,86,3.5,163,好
civil,g013,"成本與管理會計",6,150,99,27,5.5,11,好
civil,g014,"審計學（會計組）",6,150,99,80,1.9,0,普通
civil,p022,"經濟學概要與財政學概要",6,300,99,36,8.3,105,好
civil,a010,"會計學",6,150,99,97,1.5,16,普通
civil,a011,"中級會計學",6,120,99,88,1.4,9,普通
civil,a014,"政府會計",6,150,99,31,4.8,53,好
civil,a015,"會計審計法規",6,150,99,15,9.9,90,好
civil,b007,"警察法規",6,150,99,35,4.3,22,好
civil,b016,"消防與災害防救法規",6,225,99,121,1.8,29,普通
civil,b019,"海巡法規",6,135,99,59,2.3,14,好
civil,b020,"水上警察情境實務",6,135,99,89,1.5,9,普通
civil,a009,"租稅各論",6,150,99,79,1.9,0,普通
civil,a013,"成本與管理會計",6,150,99,74,2,2,好
